Image,PFP no.,Holder discord,Artist,Event,OG file Link,,,,,,Snap 1
,CCKK039,jtp.j,Jannie,,https://drive.google.com/file/d/1E25WmFPL3pWSRpQVEbXj9kSx9pei-gbb/view?usp=drivesdk,,,,,,TRUE
,CCKK040,jnrzz,Jannie,,https://drive.google.com/file/d/1we9gpZONhlyqrzm4UaWD6XDENe0JbU0F/view?usp=drivesdk,,,,,,TRUE
,CCKK041,yingjuice.,,,https://drive.google.com/file/d/1we9gpZONhlyqrzm4UaWD6XDENe0JbU0F/view?usp=drivesdk,,,,,,TRUE
,CCKK042,.huak,Jannie,,https://drive.google.com/file/d/1Mnsdf11ffp2ZU_dZCao8904a88bGny8T/view?usp=drivesdk,,,,,,TRUE
,CCKK043,hamzin,,,https://drive.google.com/file/d/1OiAP5ln2iH_gVRMpbHShpJL5h5bRAjn_/view?usp=sharing,,,,,,TRUE
,CCKK044,pkhemapet,Jannie,,https://drive.google.com/file/d/1xYfDTRRtLTKguIfzjH5VZbFoRDGfb5N-/view?usp=drivesdk,,,,,,TRUE
,CCKK045,nimnimeiei,,,https://drive.google.com/file/d/1T6ynfVHhF4ZzQInvTe2l11YjYevmYR7s/view?usp=drivesdk,,,,,,TRUE
,CCKK046,ghooolyache,Jannie,,https://drive.google.com/file/d/1o8vdM5Zi19NnuuUlEu_xMXnE2ZvqARj7/view?usp=drivesdk,,,,,,TRUE
,CCKK047,pingpingpingpingping,Puichii,,https://drive.google.com/file/d/1tt1lyL7tF2y2DExwhy4i85w_Y99aJSPY/view?usp=drivesdk,,,,,,FALSE
,CCKK048,toadster69,Puichii,,https://drive.google.com/file/d/1esxaovB3iXzOZ5F-60WNsprnuH20sKUC/view?usp=drivesdk,,,,,,FALSE
,CCKK049,0xpilbit,Puichii,,https://drive.google.com/file/d/1xUfGj8G5jACztg907-X_xID5To9hU9hu/view?usp=drivesdk,,,,,,FALSE
,CCKK050,lastexam,puichii,,https://drive.google.com/file/d/15ecBF02RO4atG2QDRcIF-ILBo3uf0ODH/view?usp=drivesdk,,,,,,FALSE
,CCKK051,mthuy0301,Puichii,,https://drive.google.com/file/d/13I3qbj5A8TEeAbuV-WB6yLAmYHmIogkb/view?usp=drivesdk,,,,,,FALSE
,CCKK052,keoneh,Puichii,,https://drive.google.com/file/d/1MZNhV_o15xXYL4RiuYPez7MpcnFmSZuR/view?usp=drivesdk,,,,,,Commu team
,CCKK053,billmonday,Puichii,,https://drive.google.com/file/d/12PTtq171HiCZtdC8YH_3VHDMw6iyu3Vy/view?usp=drivesdk,,,,,,Commu team
,CCKK054,zella.nft,Puichii,,https://drive.google.com/file/d/1TL-dP2EPdsQmg1Mvvlzi1nusVKvD-C45/view?usp=drivesdk,,,,,,FALSE
,CCKK055,frank_168,frank_168,,https://drive.google.com/file/d/1iuf3UWABq3gA0e7YnfhkpdPBmHchWE7m/view?usp=drivesdk,,,,,,TRUE
,CCKK056,0xpr63,0xpr63,,https://drive.google.com/file/d/1yVZC2E16G-L7AT_fXIGuX5Inzzwfi1s3/view?usp=drivesdk,,,,,,TRUE
,CCKK057,platoospace,platoospace,,บิบอันนี้คืออะไร........... อยู่ในคอลเราไหมอ่ะ,,,,,,TRUE
,CCKK058,manlaker,manlaker,,https://drive.google.com/file/d/1maAYGhh5zEWPXGqE5ZCi-AIz9Khw41lu/view?usp=drivesdk,,,,,,TRUE
,CCKK059,22x22_27341,22x22_27341,,https://drive.google.com/file/d/1eO3G5H342pqgBnqmdk-kWTuwSRY7mifW/view?usp=drivesdk,,,,,,TRUE
,CCKK060,asura14afc,flippedfacecontributiondao,,https://drive.google.com/file/d/1Aa8GwnM94XL381QB_1bhvdGbzOf8i5Sb/view?usp=drivesdk,,,,,,TRUE
,CCKK061,jaylelikez,jaylelikez,,https://drive.google.com/file/d/1RF7UXQ-NWuQcr3bUPwJrXP5WSnYedT7P/view?usp=drivesdk,,,,,,TRUE
,CCKK062,golden.pigy,@Yves_truong,,https://drive.google.com/file/d/1nJrvUjgRuuSSjz9jmbR54UMYkZ6xgxeh/view?usp=drive_link,,,,,,
,CCKK063,22x22_27341,@MMminimk,,Cckk_63.JPG,,,,,,
,CCKK064,,,,https://drive.google.com/file/d/10QGdzZhyp9hkJq_Rh1zq8WHO-5x2GsJe/view?usp=drive_link,,,,,,
